sample_name,Durusdinium,Cladocopium,Breviolum,Symbiodinium
H2,58265,559,0,0
H20,64085,561,0,0
H21,39818,939,0,0
H22,46504,2572,0,0
H23,39847,8437,0,0
H24,39493,3896,0,0
H25,60726,416,0,0
H26,36937,3445,0,0
H27,43958,40,0,0
H28,63393,1305,0,0
H29,49128,1921,0,0
H3,51467,2070,0,0
H30,68336,572,0,0
H31,63845,739,0,0
H32,63389,1079,0,0
H33,34529,4579,0,0
H34,47600,1195,0,0
H35,57398,184,0,0
H36,46291,367,0,0
H37,56733,89,0,0
H38,15620,580,0,0
H39,29976,955,0,0
H4,67749,259,0,0
H40,41670,97,0,0
H41,48669,897,0,0
H42,56542,123,0,0
H43,54058,405,0,0
H44,58515,1705,0,0
H45,41882,41,0,0
H46,32865,9711,0,0
H47,33585,616,0,0
H48,23240,1101,0,0
H5,43514,5243,0,0
H6,54791,14633,0,0
H7,60820,5161,0,0
H8,62967,495,0,0
H9,48496,1561,0,0
I1,43448,0,0,0
I10,34242,43,0,0
I11,45340,0,0,0
I12,36728,0,0,0
I13,43613,0,0,0
I14,41373,0,0,0
I15,25895,0,0,0
I16,49377,0,0,0
I17,22498,0,0,0
I18,41461,0,0,0
I19,26219,0,0,0
I2,26686,0,0,0
I20,48339,0,0,0
I21,43659,0,0,0
I22,36967,0,0,0
I23,35525,397,0,0
I24,38063,0,0,0
I25,52823,0,0,0
I26,48960,8,0,0
I27,43339,0,0,0
I28,45614,0,0,0
I29,42847,43,0,0
I3,33699,0,0,0
I30,47846,0,0,0
I31,50058,0,0,0
I32,42494,0,0,0
I33,43351,0,0,0
I34,40248,0,0,0
I35,44385,0,0,0
I36,38810,0,0,0
I37,42225,32,0,0
I38,34412,4,0,0
I39,20879,0,0,0
I4,34837,0,0,0
I40,41221,0,0,0
I41,21822,0,0,0
I42,38375,0,0,0
I43,42315,0,0,0
I44,38736,0,0,0
I45,29576,0,0,0
I46,32813,0,0,0
I47,24154,0,0,0
I48,33836,0,0,0
I5,29601,0,0,0
I6,42268,684,0,0
I7,39488,0,0,0
I8,49590,0,0,0
I9,45757,0,0,0
