sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
139324	G39	G39_S135_L001_R1_001.fastq.gz	87ed5ff229631670a77c127921207a14b430da052df73fe2adfb184e6cc482da	G39_S135_L001_R2_001.fastq.gz	fdf04d69d4b96fa461c987678b4c46ccd4e2f35a0c56d74534def73a20f4e170	670	20211115_nitschke	1.1772444567755658	1.044276432914846	0.011467942937735544	1.0425192481098704	0.011398580379644401	0.0017571848049756074	6.93625580911424e-05	0.0	0.0	1.0	0.0001387251161822848	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139213	E25	E25_S25_L001_R1_001.fastq.gz	25085d8545a250c5a34382f19beb84a9e8a816059029a36f32eddfd3a82ef031	E25_S25_L001_R2_001.fastq.gz	736a59d26e4aa7278074b4751e95e03701f3070cb849bc0cfcbafbc3c00bd317	670	20211115_nitschke	1.1824240251386633	1.0375603686441572	0.01212645253811924	1.0349030938271084	0.01204209460741928	0.002657274817048738	8.435793069995994e-05	0.0	0.0	1.0	0.0001054474133749499	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139273	F36	F36_S84_L001_R1_001.fastq.gz	8ec5be8f9eb3db80aef7e5a30560c626ca24b1d132ef087d069ce43a90c290e9	F36_S84_L001_R2_001.fastq.gz	533df00994cd8ac0388f1e5c8f30f0b16c8a9b10267dc07ee912d314b838d332	670	20211115_nitschke	1.152620477784401	1.0293686092897427	0.011531936356550048	1.0274427988445138	0.011486083726901738	0.0019258104452290338	4.585262964831033e-05	0.0	0.0	1.0	0.00018341051859324133	0	0	9.170525929662066e-05	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139256	F20	F20_S68_L001_R1_001.fastq.gz	61bf54133eac2d6a8efe808d2ae751e6e9f61a7a39c73a6094385a935b0b1d9e	F20_S68_L001_R2_001.fastq.gz	8266670b38f0efb878d337ff9b164f8613fdaa846e1e524722013df72d637613	670	20211115_nitschke	1.1864421141828196	1.0305052430886559	0.01105815061963775	1.0279843236945239	0.011015782226459062	0.0025209193941319774	4.2368393178688695e-05	0.0	0.0	1.0	0.0001271051795360661	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139269	F32	F32_S80_L001_R1_001.fastq.gz	65f872c2ae493c353b87cd3884cd19b3ae86c9fb07f2e4e2c681d0508cc0aaaf	F32_S80_L001_R2_001.fastq.gz	4ff4eae57db1a22111bbe325d75c05caf70fa9e9be05a8a7977aba7c04099f89	670	20211115_nitschke	1.1733441335908779	1.049307329636322	0.01161027686044821	1.0474172845660166	0.011568737408353584	0.0018900450703055226	4.1539452094626875e-05	0.0	0.0	1.0	0.00014538808233119404	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139294	G11	G11_S107_L001_R1_001.fastq.gz	764ab12da5a7ee3701d43646e2f8024393558b21e34cf9137b3bfdc40ff437ba	G11_S107_L001_R2_001.fastq.gz	1d42b8b83460a3791ccdde6634cba38a693c0ed46559473aafcb7d14e6710a37	670	20211115_nitschke	1.1625419894426545	1.0394872146431755	0.012339754575992321	1.037601974360732	0.01232261602797011	0.0018852402824432715	1.713854802221156e-05	0.0	0.0	1.0	0.0001199698361554809	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139415	I34	I34_S226_L001_R1_001.fastq.gz	6aaba26776004ca884998dffd2738f010bac0bf03163c5cc9498d93baa75f3b2	I34_S226_L001_R2_001.fastq.gz	5bb8c2efacfa3b1958ac90f63888c8c5043da3a0db375f2cac371051d6d5e501	670	20211115_nitschke	1.154293381037567	1.028225004969191	0.011180679785330949	1.0256410256410255	0.011130987875173921	0.002583979328165375	4.9691910157026436e-05	0.0	0.0	1.0	0.00012422977539256608	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139352	H20	H20_S164_L001_R1_001.fastq.gz	09947a857e5603868c19f4804a078948ef5682c44f1dc7720d5d956ba6459646	H20_S164_L001_R2_001.fastq.gz	50ecfe0f9f91775f8c661cf7a7861cabf6b10b31e68d6a6b7bbf19eed86a6399	670	20211115_nitschke	1.1538532933205456	1.0219039074343348	0.010240386102775114	1.0193670142004145	0.010193979519227795	0.0025368932339201187	4.640658354731925e-05	0.0	0.0	1.0	0.000371252668378554	0	0	0.0008198496426693065	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139251	F16	F16_S64_L001_R1_001.fastq.gz	fbf5625524327f128008d3a0fcfc30dad97d2feede0a1068cbca4598d376fa48	F16_S64_L001_R2_001.fastq.gz	7209c5491d310375c268952310ce69e100f44d1f8f83fcc7fd6e325d90a2aa84	670	20211115_nitschke	1.1849019407905919	1.039359641072703	0.011794296590870466	1.0368444308487135	0.011760307263519254	0.0025152102239896675	3.398932735121172e-05	0.0	0.0	1.0	0.00027191461880969375	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139242	E8	E8_S8_L001_R1_001.fastq.gz	656b4dc9f1542905123b9e3f4c71dc3fd1852cf36b22c705840c3a6fbd197518	E8_S8_L001_R2_001.fastq.gz	ff8cc67eb97c9cdc3bbdd4e70df41acfffb4699c6f0f6eff7f9fc4bd4713671c	670	20211115_nitschke	1.1637742850905917	1.0226751800916831	0.011815105872080333	1.0208196900240123	0.011787819253438114	0.0018554900676708143	2.7286618642217856e-05	0.0	0.0	1.0	0.00016371971185330714	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
